,Quit,Stay Length,Start Month_April,Start Month_August,Start Month_July,Start Month_June,Start Month_March,Start Month_May,Start Month_November,Start Month_October,"Age_(10, 20]","Age_(20, 22]","Age_(22, 24]","Age_(24, 26]","Age_(26, 28]","Age_(28, 35]",Education_College,Education_Secondary,English level_Fluent,English level_Intermediate,Gender_Female,Bar Experience_Bar,Bar Experience_Waiter
0,0,31,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
1,1,151,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0
2,1,42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
3,1,139,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
4,1,15,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1
5,1,202,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0
6,0,7,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
7,0,76,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
8,0,82,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
9,0,237,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1
10,1,21,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
11,0,210,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
12,1,167,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0
13,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
15,1,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0
16,1,467,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
17,1,106,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
18,1,43,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
19,1,26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
20,1,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
21,1,15,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
22,1,27,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
